葉ID,全面積,緑色部分面積,斑面積,斑入り率
m2,2404156.5,982196.5,1421960,59.14590002772282
g1,2978249.0,2914863.0,63386,2.1282975332149863
g2,2974410.5,2798427.5,175983,5.916567333258136
m3,2595612.0,2190539.0,405073,15.606069011855391
w1,2273893.5,308482.5,1965411,86.43373139507193
m1,2024952.5,1584432.5,440520,21.75458436679379
a2,2218479.0,112402.0,2106077,94.93337552440208
w3,3530048.0,66930.0,3463118,98.10399178708052
a1,2318820.5,5843.5,2312977,99.74799688031048
a3,2048110.0,-2852.0 (Error),2050962 (Error),-
g3,3230880.0,3053703.0,177177,5.483861981874908
w2,3840103.0,109268.0,3730835,97.15455548978764
